n,resid,se,t,p,edge_c,net_c,net_se,net_mid_c,spread,fee_c,cell,bh_pass
537,-0.009627560521415272,0.017064959557161013,-0.5641713060711728,0.5726375537221635,-0.9627560521415273,-5.031657355679702,1.710772805745092,-2.633147113594041,4.685288640595903,1.670391061452514,any|cheap|form_last5_diff>=0.0,False
123,0.012032520325203251,0.0368064881639935,0.32691302336674016,0.7437336706093869,1.203252032520325,-2.821138211382114,3.711113317845047,-0.42276422764227645,4.682926829268292,1.6260162601626016,any|cheap|form_last5_diff>=0.3,False
48,-0.0646875,0.05216721746687105,-1.240002881907205,0.21497432820691342,-6.468749999999999,-10.854166666666666,5.165350116806819,-8.177083333333334,5.354166666666667,1.7083333333333333,any|cheap|form_last5_diff<=-0.6,False
119,-0.032226890756302515,0.03526926039499509,-0.9137387740876952,0.3608541247367847,-3.2226890756302513,-7.34453781512605,3.5101828994076394,-4.911764705882353,4.798319327731092,1.6890756302521008,any|cheap|form_last5_diff<=-0.3,False
529,-0.03112476370510396,0.01674062816965249,-1.8592351129049696,0.06299381979506569,-3.112476370510396,-7.306238185255198,1.6711113788257073,-4.804347826086956,4.890359168241966,1.6918714555765595,any|cheap|form_last5_diff<=0.0,False
620,-0.0255241935483871,0.015608691782187522,-1.6352551453104511,0.10199557227300193,-2.55241935483871,-6.711290322580645,1.5606866013361347,-4.244354838709677,4.824193548387097,1.6919354838709677,any|cheap|form_last5_diff<=0.3,False
710,-0.019640845070422536,0.014689045557432686,-1.337108322908307,0.1811872808264665,-1.9640845070422537,-6.125352112676056,1.471384779463387,-3.6443661971830985,4.849295774647888,1.680281690140845,any|cheap|form_last5_diff<=0.6,False
691,-0.015217076700434155,0.015023312731043782,-1.0128975528140332,0.3111090974243145,-1.5217076700434156,-5.642547033285094,1.505371653142251,-3.201881331403763,4.7626628075253254,1.6801736613603473,any|cheap|winrate_diff>=-0.5,False
618,-0.014603559870550162,0.015880554569283067,-0.9195875249090526,0.3577883483073434,-1.4603559870550162,-5.577669902912621,1.591677452592706,-3.1399676375404533,4.758899676375404,1.6796116504854368,any|cheap|winrate_diff>=-0.25,False
537,-0.011554934823091249,0.01703039076595483,-0.6784891187694018,0.49746162071550915,-1.155493482309125,-5.240223463687151,1.7073917756237378,-2.8258845437616387,4.716945996275605,1.670391061452514,any|cheap|winrate_diff>=0.0,False
145,0.013344827586206892,0.034166037812141524,0.39058750855402274,0.6961021603659125,1.3344827586206893,-2.6482758620689655,3.444490450981753,-0.32068965517241377,4.544827586206897,1.6551724137931034,any|cheap|winrate_diff>=0.25,False
89,0.022921348314606748,0.0448323406745318,0.5112681597645833,0.609163297146865,2.292134831460675,-1.7303370786516854,4.508950469035163,0.6067415730337079,4.584269662921348,1.6853932584269662,any|cheap|winrate_diff>=0.5,False
77,-0.04694805194805194,0.04310966121402094,-1.0890378311018274,0.2761372032037923,-4.694805194805194,-8.844155844155845,4.326754142912937,-6.3441558441558445,4.974025974025974,1.6493506493506493,any|cheap|winrate_diff<=-0.5,False
139,-0.04838129496402877,0.0318389974643244,-1.5195608787066872,0.12862137651021088,-4.838129496402877,-9.035971223021583,3.1728012413026843,-6.5359712230215825,4.913669064748201,1.6978417266187051,any|cheap|winrate_diff<=-0.25,False
519,-0.028747591522157997,0.016960876477138228,-1.6949354923318511,0.09008765864812052,-2.8747591522157996,-7.044315992292871,1.6927164068684524,-4.5626204238921,4.851637764932563,1.6878612716763006,any|cheap|winrate_diff<=0.0,False
617,-0.026142625607779576,0.015640059683501805,-1.6715169978127762,0.09461960413906256,-2.6142625607779575,-6.776337115072933,1.5636252579701728,-4.306320907617504,4.829821717990275,1.6920583468395463,any|cheap|winrate_diff<=0.25,False
