ticker,pnl,cost,fee,contracts,klass,tier,event,t_entry,entry_c,n_buys
KXITFWMATCH-26JUL28FAVSOU-FAV,-3.6982999999999997,13.399999999999999,0.2983,10.0,bot,ITF-W,KXITFWMATCH-26JUL28FAVSOU,2026-07-28 14:00:42.273408+00:00,58.0,1
KXITFWMATCH-26JUL28FAVSOU-SOU,-2.6696000000000004,13.31,0.3596,11.0,bot,ITF-W,KXITFWMATCH-26JUL28FAVSOU,2026-07-28 14:26:09.387654+00:00,53.0,1
KXITFWMATCH-26JUL28GADBAR-GAD,4.1808,20.5,0.3192,25.0,bot,ITF-W,KXITFWMATCH-26JUL28GADBAR,2026-07-28 13:17:09.762258+00:00,25.0,1
KXITFWMATCH-26JUL28KULFRO-FRO,-2.4912,11.34,0.1512,9.0,bot,ITF-W,KXITFWMATCH-26JUL28KULFRO,2026-07-28 19:10:09.623562+00:00,66.0,2
KXITFWMATCH-26JUL28MAHDRI-DRI,-2.6651999999999996,11.52,0.1452,9.0,bot,ITF-W,KXITFWMATCH-26JUL28MAHDRI,2026-07-28 13:38:05.110060+00:00,64.0,1
KXITFWMATCH-26JUL28MICBER-MIC,-2.8882000000000003,13.530000000000001,0.3582,11.0,bot,ITF-W,KXITFWMATCH-26JUL28MICBER,2026-07-28 12:52:50.856813+00:00,45.0,2
KXITFWMATCH-26JUL28MUSGAI-MUS,-1.9161000000000001,12.54,0.3761,11.0,bot,ITF-W,KXITFWMATCH-26JUL28MUSGAI,2026-07-28 13:25:23.835672+00:00,54.0,1
KXITFWMATCH-26JUL28NEWHAZ-HAZ,3.1500000000000004,5.85,0.0,9.0,bot,ITF-W,KXITFWMATCH-26JUL28NEWHAZ,2026-07-28 18:25:27.285350+00:00,64.0,1
KXITFWMATCH-26JUL28NIKHAD-NIK,-0.4804,14.0,0.4804,14.0,bot,ITF-W,KXITFWMATCH-26JUL28NIKHAD,2026-07-28 12:52:49.766582+00:00,43.0,1
KXITFWMATCH-26JUL28PLOFER-FER,-2.2253000000000003,11.07,0.1553,9.0,bot,ITF-W,KXITFWMATCH-26JUL28PLOFER,2026-07-28 10:53:09.638191+00:00,67.0,2
KXITFWMATCH-26JUL28RUTSPI-SPI,-2.3276,10.08,0.2476,8.0,bot,ITF-W,KXITFWMATCH-26JUL28RUTSPI,2026-07-28 14:01:25.734173+00:00,74.0,1
KXITFWMATCH-26JUL28SAGLEV-LEV,-8.793999999999995,71.56,1.234,64.0,bot,ITF-W,KXITFWMATCH-26JUL28SAGLEV,2026-07-28 14:17:24.443483+00:00,49.0,3
KXITFWMATCH-26JUL28SAIPER-SAI,1.9722,5.92,0.1078,8.0,bot,ITF-W,KXITFWMATCH-26JUL28SAIPER,2026-07-28 20:11:35.195331+00:00,74.0,1
