event,tier,t_entry,pnl,cost,fee,contracts,n_tickers,n_buys,entry_c,klass,hr,utc_hour,et_hour,block,day
KXITFWMATCH-26JUL28NIKHAD,ITF-W,2026-07-28 12:52:49.766582+00:00,-0.4804,14.0,0.4804,14.0,1,1,43.0,bot,2026-07-28 12:00:00+00:00,12,8,12-15,2026-07-28
KXITFWMATCH-26JUL28MICBER,ITF-W,2026-07-28 12:52:50.856813+00:00,-2.8882000000000003,13.530000000000001,0.3582,11.0,1,2,45.0,bot,2026-07-28 12:00:00+00:00,12,8,12-15,2026-07-28
KXITFMATCH-26JUL28FRYCOQ,ITF-M,2026-07-28 12:53:03.818780+00:00,-2.921700000000001,14.760000000000002,0.1617,12.0,1,1,49.0,bot,2026-07-28 12:00:00+00:00,12,8,12-15,2026-07-28
KXATPCHALLENGERMATCH-26JUL28ALKSIN,Challenger,2026-07-28 13:01:31.509269+00:00,-1.6973999999999996,9.44,0.2574,8.0,1,1,70.0,bot,2026-07-28 13:00:00+00:00,13,9,12-15,2026-07-28
KXITFMATCH-26JUL28MUNLEC,ITF-M,2026-07-28 13:13:09.466478+00:00,-1.5417000000000003,9.280000000000001,0.2617,8.0,1,1,74.0,bot,2026-07-28 13:00:00+00:00,13,9,12-15,2026-07-28
KXITFWMATCH-26JUL28GADBAR,ITF-W,2026-07-28 13:17:09.762258+00:00,4.1808,20.5,0.3192,25.0,1,1,25.0,bot,2026-07-28 13:00:00+00:00,13,9,12-15,2026-07-28
KXITFWMATCH-26JUL28CEXSHA,ITF-W,2026-07-28 13:19:15.172110+00:00,1.2914999999999983,39.92,0.7885,42.0,1,2,38.0,bot,2026-07-28 13:00:00+00:00,13,9,12-15,2026-07-28
KXITFWMATCH-26JUL28MUSGAI,ITF-W,2026-07-28 13:25:23.835672+00:00,-1.9161000000000001,12.54,0.3761,11.0,1,1,54.0,bot,2026-07-28 13:00:00+00:00,13,9,12-15,2026-07-28
KXITFMATCH-26JUL28COCCOM,ITF-M,2026-07-28 13:26:08.135156+00:00,1.5722,6.32,0.1078,8.0,1,1,74.0,bot,2026-07-28 13:00:00+00:00,13,9,12-15,2026-07-28
KXATPCHALLENGERMATCH-26JUL28SCHGOM,Challenger,2026-07-28 13:31:09.464361+00:00,2.5652000000000004,6.3,0.1348,9.0,1,1,69.0,bot,2026-07-28 13:00:00+00:00,13,9,12-15,2026-07-28
KXITFMATCH-26JUL28WEIRIS,ITF-M,2026-07-28 13:32:08.765254+00:00,4.148200000000001,36.04,0.8118,41.0,1,3,40.0,bot,2026-07-28 13:00:00+00:00,13,9,12-15,2026-07-28
KXITFWMATCH-26JUL28MAHDRI,ITF-W,2026-07-28 13:38:05.110060+00:00,-2.6651999999999996,11.52,0.1452,9.0,1,1,64.0,bot,2026-07-28 13:00:00+00:00,13,9,12-15,2026-07-28
KXATPCHALLENGERMATCH-26JUL28OLITAB,Challenger,2026-07-28 13:45:56.422044+00:00,1.5722,6.32,0.1078,8.0,1,1,74.0,bot,2026-07-28 13:00:00+00:00,13,9,12-15,2026-07-28
KXITFMATCH-26JUL28BREJAN,ITF-M,2026-07-28 14:00:39.892181+00:00,-5.604900000000001,28.89,0.7149,24.0,1,3,69.0,bot,2026-07-28 14:00:00+00:00,14,10,12-15,2026-07-28
KXITFWMATCH-26JUL28FAVSOU,ITF-W,2026-07-28 14:00:42.273408+00:00,-6.367900000000001,26.71,0.6578999999999999,21.0,2,2,58.0,bot,2026-07-28 14:00:00+00:00,14,10,12-15,2026-07-28
KXATPCHALLENGERMATCH-26JUL28ARNPIE,Challenger,2026-07-28 14:00:44.610948+00:00,2.6528,6.21,0.1372,9.0,1,2,66.0,bot,2026-07-28 14:00:00+00:00,14,10,12-15,2026-07-28
KXITFWMATCH-26JUL28RUTSPI,ITF-W,2026-07-28 14:01:25.734173+00:00,-2.3276,10.08,0.2476,8.0,1,1,74.0,bot,2026-07-28 14:00:00+00:00,14,10,12-15,2026-07-28
KXITFMATCH-26JUL28TABSPI,ITF-M,2026-07-28 14:02:11.119047+00:00,-7.7508,35.32,0.4308,28.0,1,2,62.0,bot,2026-07-28 14:00:00+00:00,14,10,12-15,2026-07-28
KXATPCHALLENGERMATCH-26JUL28TABSQU,Challenger,2026-07-28 14:09:49.107299+00:00,-5.0566,24.560000000000002,0.4966,20.0,1,2,74.0,bot,2026-07-28 14:00:00+00:00,14,10,12-15,2026-07-28
KXITFWMATCH-26JUL28SAGLEV,ITF-W,2026-07-28 14:17:24.443483+00:00,-8.793999999999995,71.56,1.234,64.0,1,3,49.0,bot,2026-07-28 14:00:00+00:00,14,10,12-15,2026-07-28
KXATPCHALLENGERMATCH-26JUL28FELMAY,Challenger,2026-07-28 14:34:37.092252+00:00,0.0,0.0,0.0,0.0,1,2,67.0,bot,2026-07-28 14:00:00+00:00,14,10,12-15,2026-07-28
KXATPCHALLENGERMATCH-26JUL28GOMCER,Challenger,2026-07-28 14:44:30.919623+00:00,1.7600000000000002,6.24,0.0,8.0,1,1,73.0,bot,2026-07-28 14:00:00+00:00,14,10,12-15,2026-07-28
KXITFMATCH-26JUL28SALFAB,ITF-M,2026-07-28 15:32:54.554187+00:00,3.6738999999999993,9.100000000000001,0.2261,13.0,1,1,48.0,bot,2026-07-28 15:00:00+00:00,15,11,12-15,2026-07-28
KXITFMATCH-26JUL28PLUPLA,ITF-M,2026-07-28 15:32:55.664458+00:00,3.2186999999999997,7.59,0.1913,11.0,1,1,54.0,bot,2026-07-28 15:00:00+00:00,15,11,12-15,2026-07-28
KXITFMATCH-26JUL28SCRALB,ITF-M,2026-07-28 15:32:56.620814+00:00,0.0,0.0,0.0,0.0,1,1,70.0,bot,2026-07-28 15:00:00+00:00,15,11,12-15,2026-07-28
KXATPCHALLENGERMATCH-26JUL28MAENEU,Challenger,2026-07-28 15:35:15.966024+00:00,2.7407,6.12,0.1393,9.0,1,1,67.0,bot,2026-07-28 15:00:00+00:00,15,11,12-15,2026-07-28
