event,tier,match_date,t_entry,t_settled,pnl,fee,cost,contracts,n_tickers,n_buy_orders,entry_px,klass
KXITFMATCH-26JUL28HUDPED,ITF-M,2026-07-28,2026-07-28 10:28:31.671383+00:00,2026-07-28 12:13:46.010330+00:00,0.6816000000000009,0.5284,21.79,23.0,1,2,68.0,bot
KXITFMATCH-26JUL28IANTAB,ITF-M,2026-07-28,2026-07-28 10:38:40.933204+00:00,2026-07-28 12:23:46.007935+00:00,-2.1841000000000004,0.2941,10.89,9.0,1,1,68.0,bot
KXITFMATCH-26JUL28SARTOF,ITF-M,2026-07-28,2026-07-28 10:45:29.821826+00:00,2026-07-28 12:53:35.965913+00:00,-2.9214000000000016,0.3214,12.600000000000001,10.0,1,1,57.0,bot
KXITFWMATCH-26JUL28SRAWIR,ITF-W,2026-07-28,2026-07-28 10:45:31.009125+00:00,2026-07-28 11:19:26.007464+00:00,1.8046,0.1154,6.08,8.0,1,1,74.0,bot
KXITFWMATCH-26JUL28ZAAFRI,ITF-W,2026-07-28,2026-07-28 10:46:09.524355+00:00,2026-07-28 11:53:56.009364+00:00,3.2349999999999994,0.165,6.6000000000000005,10.0,1,1,62.0,bot
KXITFMATCH-26JUL28BELKAR,ITF-M,2026-07-28,2026-07-28 10:50:52.723052+00:00,2026-07-28 12:08:36.006834+00:00,2.8286,0.1414,6.03,9.0,1,1,66.0,bot
KXITFWMATCH-26JUL28PLOFER,ITF-W,2026-07-28,2026-07-28 10:53:09.638191+00:00,2026-07-28 11:29:06.005696+00:00,-2.2253000000000003,0.1553,11.07,9.0,1,2,67.0,bot
KXITFMATCH-26JUL28OBELIS,ITF-M,2026-07-28,2026-07-28 10:59:40.577126+00:00,2026-07-28 11:58:55.955261+00:00,3.2181,0.1919,7.59,11.0,1,1,53.0,bot
KXITFMATCH-26JUL28FUNSHA,ITF-M,2026-07-28,2026-07-28 12:52:46.569729+00:00,2026-07-28 14:08:26.011124+00:00,1.330699999999999,0.7093,31.96,34.0,1,2,46.0,bot
KXITFWMATCH-26JUL28BORNAJ,ITF-W,2026-07-28,2026-07-28 12:52:47.578655+00:00,2026-07-28 13:23:56.005242+00:00,3.4000000000000004,0.0,6.6,10.0,1,1,60.0,bot
KXITFWMATCH-26JUL28NIKHAD,ITF-W,2026-07-28,2026-07-28 12:52:49.766582+00:00,2026-07-28 13:13:46.004165+00:00,-0.4804,0.4804,14.0,14.0,1,1,43.0,bot
KXITFWMATCH-26JUL28MICBER,ITF-W,2026-07-28,2026-07-28 12:52:50.856813+00:00,2026-07-28 13:53:56.012343+00:00,-2.888200000000001,0.3582,13.530000000000001,11.0,1,2,45.0,bot
KXITFMATCH-26JUL28FRYCOQ,ITF-M,2026-07-28,2026-07-28 12:53:03.818780+00:00,2026-07-28 14:23:15.971696+00:00,-2.9217000000000017,0.1617,14.760000000000002,12.0,1,1,49.0,bot
KXATPCHALLENGERMATCH-26JUL28ALKSIN,Challenger,2026-07-28,2026-07-28 13:01:31.509269+00:00,2026-07-28 14:02:46.019504+00:00,-1.6973999999999996,0.2574,9.44,8.0,1,1,70.0,bot
KXITFMATCH-26JUL28MUNLEC,ITF-M,2026-07-28,2026-07-28 13:13:09.466478+00:00,2026-07-28 13:53:46.005093+00:00,-1.5417000000000012,0.2617,9.280000000000001,8.0,1,1,74.0,bot
KXITFWMATCH-26JUL28GADBAR,ITF-W,2026-07-28,2026-07-28 13:17:09.762258+00:00,2026-07-28 14:53:36.020738+00:00,4.1808,0.3192,20.5,25.0,1,1,25.0,bot
KXITFWMATCH-26JUL28CEXSHA,ITF-W,2026-07-28,2026-07-28 13:19:15.172110+00:00,2026-07-28 14:28:16.009501+00:00,1.2914999999999983,0.7885,39.92,42.0,1,2,38.0,bot
KXITFWMATCH-26JUL28MUSGAI,ITF-W,2026-07-28,2026-07-28 13:25:23.835672+00:00,2026-07-28 14:33:26.010581+00:00,-1.9160999999999992,0.3761,12.54,11.0,1,1,54.0,bot
KXITFMATCH-26JUL28COCCOM,ITF-M,2026-07-28,2026-07-28 13:26:08.135156+00:00,2026-07-28 14:13:26.007163+00:00,1.5721999999999996,0.1078,6.32,8.0,1,1,74.0,bot
KXATPCHALLENGERMATCH-26JUL28SCHGOM,Challenger,2026-07-28,2026-07-28 13:31:09.464361+00:00,2026-07-28 14:02:46.011719+00:00,2.5652000000000004,0.1348,6.3,9.0,1,1,69.0,bot
KXITFMATCH-26JUL28WEIRIS,ITF-M,2026-07-28,2026-07-28 13:32:08.765254+00:00,2026-07-28 15:37:56.010032+00:00,4.148200000000001,0.8118,36.04,41.0,1,3,40.0,bot
KXITFWMATCH-26JUL28MAHDRI,ITF-W,2026-07-28,2026-07-28 13:38:05.110060+00:00,2026-07-28 15:08:05.957121+00:00,-2.6651999999999996,0.1452,11.52,9.0,1,1,64.0,bot
