wallet,n_markets_p1,n_fills_p1,avg_entry_p1,win_rate_p1,edge_p1,edge_se_p1,notional_p1,n_markets_p2,n_fills_p2,avg_entry_p2,win_rate_p2,edge_p2,edge_se_p2,notional_p2
0x22da1a1fc2b14f5c76b0e179048734c015ef2866,32.0,499.0,0.5072133156853631,0.5625,0.055286684314636986,0.08432447224591395,4066.317834003893,198.0,2323.0,0.550732046493862,0.601010101010101,0.050278054516239,0.02860562409972332,24916.53870296738
0x230287e270f04ba48df3162c5f7de6bdb8a0d6d2,122.0,624.0,0.4882934715651387,0.5491803278688525,0.06088685630371369,0.03546867048341915,39057.7137121635,54.0,98.0,0.4561106509845019,0.46296296296296297,0.006852311978461123,0.06278672429666096,4437.859902229246
0x23267ee8ae2297a6bdcbac6f4b4ef4f287e9b627,23.0,83.0,0.3693046562639015,0.2608695652173913,-0.10843509104651021,0.06644122320887438,153.52255782783283,123.0,132.0,0.6892878672189846,0.7235772357723578,0.034289368553373265,0.03685198453999985,5229.769702975505
0x23447e2f8f088433717010381defa92e349a6ba3,73.0,110.0,0.6916995029216204,0.821917808219178,0.1302183052975575,0.03846479444033416,202.08048856937995,34.0,60.0,0.6907155123953793,0.5882352941176471,-0.10248021827773218,0.07349406356176959,88.14989600006258
0x237419de121f3aecf3e1e0a613ecb9dc82b9a426,32.0,34.0,0.31300992965012325,0.21875,-0.09425992965012325,0.06637576645446472,7432.724545818508,27.0,30.0,0.35880461051030077,0.1111111111111111,-0.24769349939918966,0.054762191730463594,6062.327376020643
0x237f21a15396d2e56c7ca5f74cfbc6af9dade76e,52.0,78.0,0.4686961042878928,0.40384615384615385,-0.06484995044173897,0.06295911557019347,170.1459594398963,64.0,177.0,0.4855088675272116,0.421875,-0.06363386752721165,0.05564144863629769,565.2999349997665
0x25bfc5364d26671ee6620fbb9f3cd13a69bf7a56,90.0,187.0,0.3289295062235079,0.3333333333333333,0.00440382710982543,0.0408063564389527,3269.0334989276425,34.0,71.0,0.3004644135564596,0.23529411764705882,-0.06517029590940074,0.06499433211614164,849.1225819859843
0x26c283df72be6f746b6acd37b7b06ff89da60cdf,33.0,102.0,0.4604347124810264,0.3333333333333333,-0.1271013791476931,0.0810388808704807,635.058374999834,61.0,172.0,0.4446581762221208,0.45901639344262296,0.014358217220502203,0.06067245852221434,752.4121250031733
0x26d61145a64b1b5036c82a147dfeb7d56fa0cacc,127.0,6724.0,0.5262608680666796,0.5826771653543307,0.05641629728765131,0.03826698235807139,37006.862608982694,172.0,9954.0,0.49295372305611246,0.45930232558139533,-0.03365139747471706,0.03520460811999474,22253.548451000184
0x26dd8dd873a26eb19d3c55d2afe4b7a939c90249,70.0,185.0,0.5715549514675485,0.7,0.1284450485324513,0.049773330029276655,3188.8074005170347,35.0,92.0,0.522592325877236,0.6571428571428571,0.13455053126562116,0.07592211375680687,756.0499020018516
0x26fbcc79d77dad5461b15794d56fc209340d67b8,24.0,47.0,0.6279288887525508,0.625,-0.0029288887525508595,0.0897731976576285,5833.685640083952,27.0,78.0,0.5207644945323215,0.6296296296296297,0.1088651350973081,0.08407957609543633,4431.061882995092
0x27b1c4821ca70c03bd279e708520c765bec76a0b,109.0,244.0,0.7035576297340936,0.8073394495412844,0.1037818198071908,0.03402864752604043,3903.830240598147,75.0,190.0,0.735611969268433,0.8,0.06438803073156706,0.04013334261346368,3720.0093749973944
0x290367f43d250062f470bb531fde2e3ab32e9203,29.0,36.0,0.6528838754666437,0.8275862068965517,0.1747023314299082,0.057762254550524916,7861.540020745943,50.0,65.0,0.7080601314798202,0.68,-0.028060131479820144,0.05920322703077458,13346.540094985905
0x2965e1d56e1b8818fce18ffa8abd243e2e850ded,40.0,102.0,0.3623516504830862,0.35,-0.012351650483086141,0.06386573051545567,1067.0430169794495,42.0,110.0,0.4238827518671916,0.5238095238095238,0.09992677194233235,0.06895310964821239,1410.1313280099228
