wallet,n_p1,avg_price_p1,win_rate_p1,edge_p1,edge_se_p1,staked_p1,n_p2,avg_price_p2,win_rate_p2,edge_p2,edge_se_p2,staked_p2
0x86ffba1728ec739f158410e3d95a0ca5daed1d98,265.0,0.48705112439547177,0.4490566037735849,-0.03799452062188685,0.020987371017913516,1987.911548,107.0,0.5299065420560747,0.4205607476635514,-0.10934579439252329,0.04311660916671054,557.213075
0x871188a9ede9648ee1e8c2fb651f2d503afcd2d0,45.0,0.5861421065488889,0.7777777777777778,0.19163567122888892,0.05185574626440308,1610.856803,24.0,0.4997606884541667,0.625,0.1252393115458333,0.09167431225559242,1063.3311370000001
0x8718865882e085b764825b637788043c16185040,25.0,0.844446095592,0.96,0.11555390440799995,0.046887240761375945,110104.381224,43.0,0.6395211690697674,0.46511627906976744,-0.17440488999999998,0.0557584736352066,176591.89549800003
0x8721b919230aac913e9aabed38d143c34a515a7b,28.0,0.347197869975,0.25,-0.09719786997500002,0.05367254054833856,464.92749699999996,20.0,0.2993295830999999,0.3,0.0006704169000000815,0.06561521278527788,517.731642
0x87c85a2235e9dcb79a15730c6988b0e6bf5d72eb,52.0,0.9336537667903847,1.0,0.0663462332096153,0.010461551517415372,66.37503599999998,35.0,0.9453713196314283,0.9714285714285714,0.026057251797143133,0.0291388458932142,40.260662
0x88335d2d601fbbf411e3832407e7665facab07ec,48.0,0.72743739805625,0.6458333333333334,-0.08160406472291659,0.06217391052486833,92.41451,31.0,0.6873869915064517,0.7419354838709677,0.05454849236451609,0.08082453793221876,50.10693499999999
0x88fbcd3e2a14d387841fe071621ebfbbb08f760e,25.0,0.350539846064,0.32,-0.03053984606400001,0.05911568890084935,306.636641,27.0,0.5203703688037037,0.4444444444444444,-0.07592592435925927,0.09341001020883878,1873.997589
0x8929a63143fba9416c8e0d3c96388b429c47733e,23.0,0.3065652201347826,0.21739130434782608,-0.08917391578695652,0.03992397195589813,1010.804042,33.0,0.4057575768878788,0.3939393939393939,-0.011818182948484857,0.05478189274340973,4203.531514
0x893575c7d99542163c6b6e8a0fe5af0b6d217daa,1391.0,0.5161998672514737,0.511861969805895,-0.0043378974455786645,0.011690453947169683,6356.717992,11397.0,0.4897733744863035,0.47284373080635256,-0.016929643679950923,0.004139244460977552,92983.765943
0x894381f05b7133c66b6b35f60db29d4d33096c65,272.0,0.5707733647356618,0.5882352941176471,0.01746192938198532,0.02382873260660038,1845.1244699999997,146.0,0.6197517993452055,0.636986301369863,0.017234502024657483,0.03768215402981353,512.026067
0x8951294fc954ddb5cba44caabc58edc2dbc1dfcf,69.0,0.5330579891463768,0.5072463768115942,-0.025811612334782574,0.04716626894901677,490.36575300000004,37.0,0.49108109244864856,0.40540540540540543,-0.08567568704324313,0.07707445510792166,379.333852
0x89687c25a41012b265a6856e1574fbfb1a94c3c1,159.0,0.4509542194735848,0.4025157232704403,-0.048438496203144554,0.031225073796032857,1393.6451270000002,25.0,0.44719990935599996,0.32,-0.12719990935599995,0.08584388730567827,75.41389699999999
0x89b95743b1cac9a67851042531f0acbe89c6118e,54.0,0.5593333599185185,0.6851851851851852,0.12585182526666672,0.06149002414347038,1035.54551,25.0,0.502800019916,0.48,-0.022800019916000003,0.10053277731812815,396.119325
