minute_of_day,n,rms_logret,se,ci_lo,ci_hi,vol_ratio_to_mean
1304,71,0.00041191414278594316,3.4567066984472415e-05,0.0003441626914963772,0.0004796655940755091,0.7357411630099864
1305,71,0.00044738829903965334,3.754399204741416e-05,0.0003738020746267216,0.0005209745234525851,0.7991033889398347
1306,71,0.0005891465572217831,4.94400808125194e-05,0.0004922439988292451,0.0006860491156143211,1.0523051485001749
1307,71,0.00032587886323015797,2.7347146708566493e-05,0.0002722784556813676,0.0003794792707789483,0.5820690987003196
1308,71,0.00044903207301222716,3.7681934494917884e-05,0.00037517548140218813,0.0005228886646222662,0.8020394186816818
1309,71,0.0006394710213360247,5.366321602761363e-05,0.000534291117921902,0.0007446509247501475,1.1421922776597762
1310,71,0.0005731788712728033,4.8100102374167415e-05,0.00047890267061943516,0.0006674550719261715,1.0237844384531163
1311,71,0.0005522312280497162,4.634221520486095e-05,0.00046140048624818873,0.0006430619698512437,0.9863687690540652
1312,71,0.0004446282084441123,3.731237038991536e-05,0.0003714959624798782,0.0005177604544083464,0.7941734483190982
1313,71,0.00042586253711784493,3.5737590234622727e-05,0.0003558168602579844,0.0004959082139777054,0.7606551118209364
1314,71,0.00042293024035933895,3.549151735694953e-05,0.0003533668663397179,0.00049249361437896,0.7554175848625218
1315,71,0.0005339030354959567,4.4804147452622235e-05,0.0004460869064888171,0.0006217191645030963,0.9536318360267826
1316,71,0.0004203781814778162,3.527735333308459e-05,0.0003512345689449704,0.0004895217940106619,0.750859220449826
1317,71,0.0004837263375124962,4.059341249576193e-05,0.0004041632490208028,0.0005632894260041896,0.8640086395988402
1318,71,0.00046054885695087264,3.8648401533802085e-05,0.00038479798994462056,0.0005362997239571248,0.8226101423568751
1319,71,0.0004174088223362631,3.502817024931666e-05,0.0003487536086476024,0.00048606403602492374,0.7455554944514304
1320,71,0.0010198905447558763,8.558731326621865e-05,0.0008521394107540878,0.0011876416787576648,1.821679271477503
1321,71,0.0007277831450671785,6.107420482229112e-05,0.000608077703615488,0.000847488586518869,1.2999311311557726
1322,71,0.0006566474992248997,5.510463403216755e-05,0.0005486424165218513,0.0007646525819279481,1.1728720735339941
1323,71,0.0007679012068099527,6.444083777684429e-05,0.000641597164767338,0.0008942052488525675,1.3715880769569122
1324,71,0.0006062579451572605,5.0876036589522955e-05,0.0005065409134417955,0.0007059749768727256,1.082868683840853
1325,71,0.0006542892052897053,5.490673040138762e-05,0.0005466720137029856,0.0007619063968764251,1.1686598027174007
1326,71,0.0005342054554636321,4.482952597254723e-05,0.0004463395845574396,0.0006220713263698247,0.9541720039783612
1327,71,0.0006506889217023087,5.460460131427514e-05,0.0005436639031263295,0.000757713940278288,1.1622291499220354
1328,71,0.0005129660689556955,4.3047156250635365e-05,0.0004285936427044502,0.0005973384952069409,0.9162352368033422
